index,question,user_prompt,valid_options,answer,groundtruth,image_path,source
65355,"Student A and student B are attending a chemistry class. They are trying to decipher the word represented in the picture. Each column should be read from top to bottom, and every two columns from left to right form a group.","Question: Student A and student B are attending a chemistry class. They are trying to decipher the word represented in the picture. Each column should be read from top to bottom, and every two columns from left to right form a group.
Options: A. Cyan  B. Cute  C. Pink  D. Meet","{'A': 'Cyan', 'B': 'Cute', 'C': 'Pink', 'D': 'Meet'}",B,Cute,CharmBench/Data/Images/65355.jpg,https://www.33iq.com/question/65355.html
65807,What should be filled in the place of the question mark after the number 9 in the picture?,"Question: What should be filled in the place of the question mark after the number 9 in the picture?
Options: A. TY  B. FT  C. BC  D. NE","{'A': 'TY', 'B': 'FT', 'C': 'BC', 'D': 'NE'}",D,NE,CharmBench/Data/Images/65807.jpg,https://www.33iq.com/question/65807.html
67059,"Taozi opened her eyes to find herself trapped in a secret chamber with an electronic keypad lock on the door. The room was bare, with no furniture—only walls—and the one facing the door was covered in a grid of squares, 17 columns by 5 rows. Wondering what the grid could mean, she noticed a small stone in the corner pressing down a slip of paper with a diagram. As she studied it and recalled her knowledge, she eventually understood its meaning through careful thought and hands-on testing. What number does it represent? (The puzzle involves two common classical ciphers and has three layers.)","Question: Taozi opened her eyes to find herself trapped in a secret chamber with an electronic keypad lock on the door. The room was bare, with no furniture—only walls—and the one facing the door was covered in a grid of squares, 17 columns by 5 rows. Wondering what the grid could mean, she noticed a small stone in the corner pressing down a slip of paper with a diagram. As she studied it and recalled her knowledge, she eventually understood its meaning through careful thought and hands-on testing. What number does it represent? (The puzzle involves two common classical ciphers and has three layers.)
Options: A. 31789  B. 24678  C. 21314  D. 51725","{'A': '31789', 'B': '24678', 'C': '21314', 'D': '51725'}",A,31789,CharmBench/Data/Images/67059.jpg,https://www.33iq.com/question/67059.html
68935,Use the image below to decipher the password.,"Question: Use the image below to decipher the password.
Options: A. 13579  B. 25789  C. 35481  D. 48321","{'A': '13579', 'B': '25789', 'C': '35481', 'D': '48321'}",D,48321,CharmBench/Data/Images/68935.jpg,https://www.33iq.com/question/68935.html
79813,"Xiao Nan, a detective, was on the beach with his girlfriend Xiao Lan when they heard someone shout, “Sir! Wait! Don’t go!” followed by a loud thud. Rushing over, they found a man unconscious on the sand, likely the one who had called out. Nearby, Xiao Nan then noticed several footprints. Which footprint is most suspicious?","Question: Xiao Nan, a detective, was on the beach with his girlfriend Xiao Lan when they heard someone shout, “Sir! Wait! Don’t go!” followed by a loud thud. Rushing over, they found a man unconscious on the sand, likely the one who had called out. Nearby, Xiao Nan then noticed several footprints. Which footprint is most suspicious?
Options: A. A  B. B  C. C  D. D","{'A': 'A', 'B': 'B', 'C': 'C', 'D': 'D'}",D,D,CharmBench/Data/Images/79813.jpg,https://www.33iq.com/question/79813.html
81824,"A musician has mysteriously gone missing from his hotel room overnight. Earlier that evening, he had been seen practicing on the grand piano in the lounge. The next morning, he was nowhere to be found, but his belongings were untouched, and the hotel staff noticed something strange — several unusual smudges on the piano keys, as if deliberately placed to form a message. Investigators believe he may have left this coded clue before disappearing. Four individuals were identified as being near the scene: Dollar (Room 214), David (Room 121), Leo (Room 325), and Micheal (Room 412). Based on the message on the piano, can you figure out who is most suspicious?","Question: A musician has mysteriously gone missing from his hotel room overnight. Earlier that evening, he had been seen practicing on the grand piano in the lounge. The next morning, he was nowhere to be found, but his belongings were untouched, and the hotel staff noticed something strange — several unusual smudges on the piano keys, as if deliberately placed to form a message. Investigators believe he may have left this coded clue before disappearing. Four individuals were identified as being near the scene: Dollar (Room 214), David (Room 121), Leo (Room 325), and Micheal (Room 412). Based on the message on the piano, can you figure out who is most suspicious?
Options: A. Dollar  B. David  C. Leo  D. Micheal","{'A': 'Dollar', 'B': 'David', 'C': 'Leo', 'D': 'Micheal'}",D,Micheal,CharmBench/Data/Images/81824.jpg,https://www.33iq.com/question/81824.html
92617,"In a puzzle-based hide-and-seek challenge, one participant secretly hid inside a beauty salon. Based on clues, the judges arrived at the scene to search for him. They saw the reflections of three people in the mirror and took out a photo for comparison. They had to determine which one was the person they were looking for. The photo on the far left is exactly the same as the person in real life, with no mirroring.","Question: In a puzzle-based hide-and-seek challenge, one participant secretly hid inside a beauty salon. Based on clues, the judges arrived at the scene to search for him. They saw the reflections of three people in the mirror and took out a photo for comparison. They had to determine which one was the person they were looking for. The photo on the far left is exactly the same as the person in real life, with no mirroring.
Options: A. A  B. B  C. C","{'A': 'A', 'B': 'B', 'C': 'C'}",C,C,CharmBench/Data/Images/92617.jpg,https://www.33iq.com/question/92617.html
93340,"The information indicated by the three somewhat blurry clocks below (ignoring the second hand readings) together point to the name of a national capital. Please determine which city they represent. The times on the first and third clocks represent morning, while the second one represents evening.","Question: The information indicated by the three somewhat blurry clocks below (ignoring the second hand readings) together point to the name of a national capital. Please determine which city they represent. The times on the first and third clocks represent morning, while the second one represents evening.
Options: A. London  B. Berlin  C. Paris  D. Beijing","{'A': 'London', 'B': 'Berlin', 'C': 'Paris', 'D': 'Beijing'}",B,Berlin,CharmBench/Data/Images/93340.jpg,https://www.33iq.com/question/93340.html
111462,Please decipher the number represented by this string of symbols.,"Question: Please decipher the number represented by this string of symbols.
Options: A. 8103  B. 1358  C. 4235  D. 1652","{'A': '8103', 'B': '1358', 'C': '4235', 'D': '1652'}",D,1652,CharmBench/Data/Images/111462.jpg,https://www.33iq.com/question/111462.html
115037,This diagram represents a three-digit code. Please decipher it.,"Question: This diagram represents a three-digit code. Please decipher it.
Options: A. 724  B. 752  C. 247  D. 245","{'A': '724', 'B': '752', 'C': '247', 'D': '245'}",C,247,CharmBench/Data/Images/115037.jpg,https://www.33iq.com/question/115037.html
120997,"There is a password hidden in this picture, can you find it?","Question: There is a password hidden in this picture, can you find it?
Options: A. 0318  B. 0319  C. 2325  D. 2352","{'A': '0318', 'B': '0319', 'C': '2325', 'D': '2352'}",D,2352,CharmBench/Data/Images/120997.jpg,https://www.33iq.com/question/120997.html
122082,"A music teacher has gone missing from his home under mysterious circumstances. When investigators arrived, they found everything mostly in order—except for a stack of freshly printed sheet music on the table. Oddly, a section of one page had been circled, as if the teacher had tried to leave a clue before vanishing. That evening, four people were known to have visited or contacted the teacher: Derrick, Edward, Barry, and Chasel. Based on the marked section of the music score, who seems the most suspicious?","Question: A music teacher has gone missing from his home under mysterious circumstances. When investigators arrived, they found everything mostly in order—except for a stack of freshly printed sheet music on the table. Oddly, a section of one page had been circled, as if the teacher had tried to leave a clue before vanishing. That evening, four people were known to have visited or contacted the teacher: Derrick, Edward, Barry, and Chasel. Based on the marked section of the music score, who seems the most suspicious?
Options: A. Chasel  B. Barry  C. Edward  D. Derrick","{'A': 'Chasel', 'B': 'Barry', 'C': 'Edward', 'D': 'Derrick'}",B,Barry,CharmBench/Data/Images/122082.jpg,https://www.33iq.com/question/122082.html
126739,"The renowned oil painter Chun Xiao had long been admired for his artistic genius. As he aged, he decided to quietly retire and pass on his most treasured knowledge to a select group of students. Before stepping away from the public eye, he requested to complete one final painting—a symbolic piece titled Red Spider Lily—as a farewell gesture to his family and admirers. Detective Song Lishan, a longtime family friend and art historian, visited Chun Xiao during this time to archive his works. After the painting was completed, Chun Xiao hung it in his studio, facing the window, in clear view. Over time, Song Lishan began to suspect that the artist had embedded something more in the painting—a hidden clue, perhaps pointing to a secret message or forgotten piece within the private art museum Chun Xiao once curated. Driven by curiosity, Song re-examined the museum’s collection and began cross-referencing details from Red Spider Lily. Could it be that Chun Xiao used this final work to discreetly highlight which of his masterpieces concealed a hidden compartment or message—perhaps part of a personal archive, or a long-lost work meant for his students? By carefully studying Red Spider Lily, can you determine which painting was meant to be removed to reveal what Chun Xiao left behind?","Question: The renowned oil painter Chun Xiao had long been admired for his artistic genius. As he aged, he decided to quietly retire and pass on his most treasured knowledge to a select group of students. Before stepping away from the public eye, he requested to complete one final painting—a symbolic piece titled Red Spider Lily—as a farewell gesture to his family and admirers. Detective Song Lishan, a longtime family friend and art historian, visited Chun Xiao during this time to archive his works. After the painting was completed, Chun Xiao hung it in his studio, facing the window, in clear view. Over time, Song Lishan began to suspect that the artist had embedded something more in the painting—a hidden clue, perhaps pointing to a secret message or forgotten piece within the private art museum Chun Xiao once curated. Driven by curiosity, Song re-examined the museum’s collection and began cross-referencing details from Red Spider Lily. Could it be that Chun Xiao used this final work to discreetly highlight which of his masterpieces concealed a hidden compartment or message—perhaps part of a personal archive, or a long-lost work meant for his students? By carefully studying Red Spider Lily, can you determine which painting was meant to be removed to reveal what Chun Xiao left behind?
Options: A. Mona Lisa  B. The Starry Night  C. Sunflowers  D. Impression, Sunrise","{'A': 'Mona Lisa', 'B': 'The Starry Night', 'C': 'Sunflowers', 'D': 'Impression, Sunrise'}",B,The Starry Night,CharmBench/Data/Images/126739.jpg,https://www.33iq.com/question/126739.html
127539,"One day, a girl gave her friend a puzzle game involving fan shapes. Game Rule: The friend must use a simple cipher clue to choose one of four different fan shapes. Under the correct fan, there is a small piece of paper hidden. The four fan shapes are: circle, star, square, and oval. Password is provided in the image. Based on the pattern in the cipher clues, which shape fan should the friend choose to solve the puzzle?","Question: One day, a girl gave her friend a puzzle game involving fan shapes. Game Rule: The friend must use a simple cipher clue to choose one of four different fan shapes. Under the correct fan, there is a small piece of paper hidden. The four fan shapes are: circle, star, square, and oval. Password is provided in the image. Based on the pattern in the cipher clues, which shape fan should the friend choose to solve the puzzle?
Options: A. Circular fan  B. Star-shaped fan  C. Square fan  D. Oval fan","{'A': 'Circular fan', 'B': 'Star-shaped fan', 'C': 'Square fan', 'D': 'Oval fan'}",B,Star-shaped fan,CharmBench/Data/Images/127539.jpg,https://www.33iq.com/question/127539.html
137649,"Xiao Lan sent Shinichi a letter, and inside was this drawing. What does it mean?","Question: Xiao Lan sent Shinichi a letter, and inside was this drawing. What does it mean?
Options: A. wait you  B. hate you  C. miss you  D. love you","{'A': 'wait you', 'B': 'hate you', 'C': 'miss you', 'D': 'love you'}",C,miss you,CharmBench/Data/Images/137649.jpg,https://www.33iq.com/question/137649.html
140216,Which country's people are most likely represented in this image?,"Question: Which country's people are most likely represented in this image?
Options: A. Australian  B. American  C. Chinese  D. Dutchman","{'A': 'Australian', 'B': 'American', 'C': 'Chinese', 'D': 'Dutchman'}",D,Dutchman,CharmBench/Data/Images/140216.jpg,https://www.33iq.com/question/140216.html
242212,"A one-time cipher is used, where each symbol represents one letter. The plaintext is an English sentence. (Note: The second symbol in the second row is the infinity symbol.) What is the plaintext?","Question: A one-time cipher is used, where each symbol represents one letter. The plaintext is an English sentence. (Note: The second symbol in the second row is the infinity symbol.) What is the plaintext?
Options: A. I love you forever  B. I love the mystery  C. I love the minteri  D. I like the mystery","{'A': 'I love you forever', 'B': 'I love the mystery', 'C': 'I love the minteri', 'D': 'I like the mystery'}",B,I love the mystery,CharmBench/Data/Images/242212.jpg,https://www.33iq.com/question/242212.html
329152,What number is represented in the picture? Each row can form a digit.,"Question: What number is represented in the picture? Each row can form a digit.
Options: A. 2695  B. 3586  C. 6428  D. 2487","{'A': '2695', 'B': '3586', 'C': '6428', 'D': '2487'}",A,2695,CharmBench/Data/Images/329152.jpg,https://www.33iq.com/question/329152.html
472970,Decipher the message in the image.,"Question: Decipher the message in the image.
Options: A. 1357  B. 2580  C. 2468  D. 7856","{'A': '1357', 'B': '2580', 'C': '2468', 'D': '7856'}",D,7856,CharmBench/Data/Images/472970.jpg,https://www.33iq.com/question/472970.html
474466,Decipher the message in the image.,"Question: Decipher the message in the image.
Options: A. 43211  B. 24251  C. 32145  D. 42533","{'A': '43211', 'B': '24251', 'C': '32145', 'D': '42533'}",D,42533,CharmBench/Data/Images/474466.jpg,https://www.33iq.com/question/474466.html
476077,Decipher the message in the image.,"Question: Decipher the message in the image.
Options: A. something  B. Japanese  C. possible  D. handsome","{'A': 'something', 'B': 'Japanese', 'C': 'possible', 'D': 'handsome'}",D,handsome,CharmBench/Data/Images/476077.jpg,https://www.33iq.com/question/476077.html
477837,Decipher the code in the image.,"Question: Decipher the code in the image.
Options: A. 1122  B. 7744  C. 4567  D. 3344","{'A': '1122', 'B': '7744', 'C': '4567', 'D': '3344'}",B,7744,CharmBench/Data/Images/477837.jpg,https://www.33iq.com/question/477837.html
494789,"Joe Davis is a British man who has recently felt a sense of danger around him. He suspects he’s being watched. After several days of careful observation, he has a strong suspicion. To secretly pass on his suspicion (in case his letters are intercepted), he wrote a birthday letter to his close friend — a detective — and included a drawing that resembles colorful stripes, as shown below. The detective received the letter and fell into deep thought while studying the drawing. Question: Who do you think the message in the drawing is pointing to? (That is, who is Charles Davis secretly suspecting?)","Question: Joe Davis is a British man who has recently felt a sense of danger around him. He suspects he’s being watched. After several days of careful observation, he has a strong suspicion. To secretly pass on his suspicion (in case his letters are intercepted), he wrote a birthday letter to his close friend — a detective — and included a drawing that resembles colorful stripes, as shown below. The detective received the letter and fell into deep thought while studying the drawing. Question: Who do you think the message in the drawing is pointing to? (That is, who is Charles Davis secretly suspecting?)
Options: A. His personal chauffeur  B. A temporary worker  C. The friendly mailman from the local post office  D. The newly hired young maid","{'A': 'His personal chauffeur', 'B': 'A temporary worker', 'C': 'The friendly mailman from the local post office', 'D': 'The newly hired young maid'}",D,The newly hired young maid,CharmBench/Data/Images/494789.jpg,https://www.33iq.com/question/494789.html
498103,"The image below shows 9 pandas having a video call using a computer. (Assume the screens are identical and each panda is centered on its screen.) Due to the mirroring effect of a front-facing camera, what you see on a video call is like looking into a mirror — the image is horizontally flipped. Each panda is looking at another panda on the screen. Question: Which pair of pandas are looking at each other? (For the purposes of the puzzle, the pandas' eyes have been exaggerated.)","Question: The image below shows 9 pandas having a video call using a computer. (Assume the screens are identical and each panda is centered on its screen.) Due to the mirroring effect of a front-facing camera, what you see on a video call is like looking into a mirror — the image is horizontally flipped. Each panda is looking at another panda on the screen. Question: Which pair of pandas are looking at each other? (For the purposes of the puzzle, the pandas' eyes have been exaggerated.)
Options: A. 6 and 8  B. 5 and 7  C. 2 and 3  D. 1 and 4","{'A': '6 and 8', 'B': '5 and 7', 'C': '2 and 3', 'D': '1 and 4'}",A,6 and 8,CharmBench/Data/Images/498103.jpg,https://www.33iq.com/question/498103.html
499577,"Mu and Eve are close friends. One day, they went to a VR experience center and selected a project called 'Pyramid Mystery Adventure', labeled as 'Hard+'. Before entering, the staff gave them a sinister smile and said: 'The sensations in this simulation can reflect back into real life. While there’s no physical harm, if you don’t want to feel like you’re dying — try to survive!' Suddenly, the scene changed. They found themselves in a desert with dust swirling around, and the majestic Giza pyramids standing in the distance. They eagerly approached the Great Pyramid of Khufu, but just as they got close, the pyramid appeared to vanish. Eve immediately said, 'This phenomenon is caused by ①!' Mu then understood. After searching further, they managed to enter the pyramid. A deep male voice echoed: 'Welcome. The pyramid holds both honor and challenge. As new explorers, how far will you go? Seek the clues, find the key, and earn your passage. Begin!' They found themselves in a sealed room with one locked door. After looking around, they discovered a pedestal with seven grooves (arranged with six surrounding one center groove). Scattered around were seven stone tablets, each engraved with a different symbol. A note in the center of the room read: ""The divine king descends, Greeted by sun and moon. I carry out the will of the god-king, Enter the great tomb. To save the lost, The lighthouse leads the way."" Mu thought for a moment and said: 'Place ② in the center, and the rest around it.' Eve followed the instruction, and the box opened, revealing the key to the door. What are ① and ②?","Question: Mu and Eve are close friends. One day, they went to a VR experience center and selected a project called 'Pyramid Mystery Adventure', labeled as 'Hard+'. Before entering, the staff gave them a sinister smile and said: 'The sensations in this simulation can reflect back into real life. While there’s no physical harm, if you don’t want to feel like you’re dying — try to survive!' Suddenly, the scene changed. They found themselves in a desert with dust swirling around, and the majestic Giza pyramids standing in the distance. They eagerly approached the Great Pyramid of Khufu, but just as they got close, the pyramid appeared to vanish. Eve immediately said, 'This phenomenon is caused by ①!' Mu then understood. After searching further, they managed to enter the pyramid. A deep male voice echoed: 'Welcome. The pyramid holds both honor and challenge. As new explorers, how far will you go? Seek the clues, find the key, and earn your passage. Begin!' They found themselves in a sealed room with one locked door. After looking around, they discovered a pedestal with seven grooves (arranged with six surrounding one center groove). Scattered around were seven stone tablets, each engraved with a different symbol. A note in the center of the room read: ""The divine king descends, Greeted by sun and moon. I carry out the will of the god-king, Enter the great tomb. To save the lost, The lighthouse leads the way."" Mu thought for a moment and said: 'Place ② in the center, and the rest around it.' Eve followed the instruction, and the box opened, revealing the key to the door. What are ① and ②?
Options: A. Refraction of light; Image 1  B. Refraction of light; Image 5  C. Reflection of light; Image 4  D. Refraction of light; Image 7","{'A': 'Refraction of light; Image 1', 'B': 'Refraction of light; Image 5', 'C': 'Reflection of light; Image 4', 'D': 'Refraction of light; Image 7'}",B,Refraction of light; Image 5,CharmBench/Data/Images/499577.jpg,https://www.33iq.com/question/499577.html
504311,"Sroan is a member of a certain intelligence agency. One day, he intercepted an encrypted message. Based on previous intelligence, he deduced that the message should be about the month in which the other party plans to carry out a transaction. Can you help Sroan decipher which month the transaction is planned for?","Question: Sroan is a member of a certain intelligence agency. One day, he intercepted an encrypted message. Based on previous intelligence, he deduced that the message should be about the month in which the other party plans to carry out a transaction. Can you help Sroan decipher which month the transaction is planned for?
Options: A. January  B. February  C. March  D. April","{'A': 'January', 'B': 'February', 'C': 'March', 'D': 'April'}",B,February,CharmBench/Data/Images/504311.jpg,https://www.33iq.com/question/504311.html
506379,"As shown in the figure, this is a simple cipher that represents the digits from 0 to 9 using a matrix grid. Based on the two given examples, please deduce the rules of this cipher and then identify the digits represented by the three figures below.","Question: As shown in the figure, this is a simple cipher that represents the digits from 0 to 9 using a matrix grid. Based on the two given examples, please deduce the rules of this cipher and then identify the digits represented by the three figures below.
Options: A. 250  B. 120  C. 365  D. 512","{'A': '250', 'B': '120', 'C': '365', 'D': '512'}",C,365,CharmBench/Data/Images/506379.jpg,https://www.33iq.com/question/506379.html
506949,"Today is the day I am meeting someone I got to know online and I am so excited. They have seen my photos but I have not seen theirs, and regardless of whether they are male or female I cannot wait to meet them. While on the subway they messaged me saying they were sitting just one row across from me. I looked up and saw five people sitting opposite left side of the image but I could not tell which one was them. Then they sent me a screenshot from their phone taken at that exact moment right side of the image but I am still clueless—can you tell which one is the person I am supposed to meet.","Question: Today is the day I am meeting someone I got to know online and I am so excited. They have seen my photos but I have not seen theirs, and regardless of whether they are male or female I cannot wait to meet them. While on the subway they messaged me saying they were sitting just one row across from me. I looked up and saw five people sitting opposite left side of the image but I could not tell which one was them. Then they sent me a screenshot from their phone taken at that exact moment right side of the image but I am still clueless—can you tell which one is the person I am supposed to meet.
Options: A. 1  B. 2  C. 3  D. 4","{'A': '1', 'B': '2', 'C': '3', 'D': '4'}",A,1,CharmBench/Data/Images/506949.jpg,https://www.33iq.com/question/506949.html
507896,"One of your online friends sent you a note with several black rectangles drawn on it (as shown below). They said they would meet you at the usual place at the time indicated in the drawing. Please decode the hidden time information on the note (assuming the information is arranged in the order of year, month, day, and specific time).","Question: One of your online friends sent you a note with several black rectangles drawn on it (as shown below). They said they would meet you at the usual place at the time indicated in the drawing. Please decode the hidden time information on the note (assuming the information is arranged in the order of year, month, day, and specific time).
Options: A. November 8, 2020, 10:12  B. November 8, 2021, 11:02  C. January 10, 2020, 08:10  D. October 11, 2020, 08:12","{'A': 'November 8, 2020, 10:12', 'B': 'November 8, 2021, 11:02', 'C': 'January 10, 2020, 08:10', 'D': 'October 11, 2020, 08:12'}",A,"November 8, 2020, 10:12",CharmBench/Data/Images/507896.jpg,https://www.33iq.com/question/507896.html
